,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
647,J,26,1,8,1,1.0,1
648,J,20,0,12,0,-1.0,1
649,A,17,0,10,1,0.0,1
650,Q,17,0,20,0,1.0,0
651,K,20,0,6,1,-1.0,0
652,K,20,0,17,0,-1.0,1
653,3,22,1,21,0,1.0,0
654,K,17,0,14,0,-1.0,1
655,7,26,1,11,1,1.0,1
656,6,21,0,15,0,-1.0,1
657,Q,18,0,13,0,-1.0,1
658,Q,20,0,8,1,-1.0,0
659,9,19,0,9,1,0.0,1
660,5,17,0,20,0,1.0,0
661,A,21,0,20,0,-1.0,1
662,10,20,0,17,0,-1.0,1
663,A,21,0,11,0,-1.0,1
664,4,17,0,12,0,-1.0,1
665,5,18,0,15,0,-1.0,1
666,9,19,0,21,0,1.0,0
667,9,19,0,19,0,0.0,0
668,6,23,1,16,0,1.0,0
669,9,19,0,19,0,0.0,0
670,Q,21,0,18,0,-1.0,1
671,8,17,0,14,0,-1.0,1
672,10,17,0,10,1,-1.0,0
673,3,23,1,16,0,1.0,0
674,5,24,1,9,0,1.0,0
675,Q,20,0,15,0,-1.0,1
676,J,22,1,20,0,1.0,0
677,8,18,0,16,0,-1.0,1
678,7,24,1,15,0,1.0,0
679,4,21,0,18,0,-1.0,1
680,K,22,1,20,0,1.0,0
681,A,18,0,12,0,-1.0,1
682,8,17,0,19,0,1.0,0
683,2,19,0,13,0,-1.0,1
684,10,20,0,14,0,-1.0,1
685,8,21,0,9,0,-1.0,1
686,10,17,0,4,0,-1.0,1
687,3,19,0,10,1,-1.0,0
688,5,20,0,4,0,-1.0,1
689,8,26,1,13,0,1.0,0
690,8,17,0,17,0,0.0,0
691,9,19,0,16,0,-1.0,1
692,10,18,0,15,0,-1.0,1
693,6,24,1,13,0,1.0,0
694,Q,19,0,10,1,1.0,1
695,J,22,1,14,0,1.0,0
696,J,21,0,6,1,-1.0,0
697,4,20,0,15,0,-1.0,1
698,2,18,0,14,0,-1.0,1
699,10,21,0,12,0,-1.0,1
700,10,17,0,7,0,-1.0,1
701,A,20,0,16,0,-1.0,1
702,4,26,1,20,0,1.0,0
703,10,18,0,16,0,-1.0,1
704,K,19,0,15,0,-1.0,1
705,3,19,0,18,0,-1.0,1
706,Q,21,0,16,0,-1.0,1
707,10,20,0,13,0,-1.0,1
708,10,17,0,18,0,1.0,0
709,K,21,0,18,0,-1.0,1
710,8,18,0,20,0,1.0,0
711,5,20,0,19,0,-1.0,1
712,J,22,1,13,0,1.0,0
713,K,20,0,11,1,-1.0,0
714,10,17,0,21,0,1.0,0
715,6,23,1,18,0,1.0,0
716,A,21,0,8,0,-1.0,1
717,5,20,0,18,0,-1.0,1
718,3,21,0,12,0,-1.0,1
719,Q,26,1,18,0,1.0,0
720,A,18,0,8,1,-1.0,0
721,A,19,0,14,0,-1.0,1
722,K,18,0,10,0,-1.0,1
723,8,18,0,12,0,-1.0,1
724,J,21,0,11,0,-1.0,1
725,2,25,1,17,0,1.0,0
726,4,22,1,6,1,1.0,1
727,10,17,0,12,0,-1.0,1
728,5,25,1,16,0,1.0,0
729,J,20,0,13,0,-1.0,1
730,6,17,0,18,0,1.0,0
731,Q,20,0,12,0,-1.0,1
732,6,19,0,14,0,-1.0,1
733,Q,22,1,17,0,1.0,0
734,2,20,0,13,0,-1.0,1
735,A,21,0,10,0,-1.0,1
736,Q,18,0,17,0,-1.0,1
737,5,23,1,19,0,1.0,0
738,A,24,1,21,0,1.0,0
739,3,23,1,6,0,1.0,0
